name,p_value,t_value
id,0.0,151.0060712835539
achieve,0.0,65.77366200421508
adverb,2.975388423583903e-10,6.304428815405406
affect,8.565489154137577e-135,24.938190294564276
anger,2.8726611529724013e-15,7.903497993332605
anx,1.0837227097279478e-142,25.601141049889893
assent,2.960343907285879e-41,13.489957715190842
auxverb,6.3807056416958335e-105,21.92021276911448
bio,8.546376817037915e-289,36.86937834089512
body,2.5261130722793617e-217,31.822176203983894
cause,0.0,42.786034729247596
certain,1.37620674347492e-224,32.38886448588082
cogmech,1.1097446152197415e-252,34.449690989490584
conj,8.451441681593516e-53,15.34721715070877
death,2.7896456074691755e-15,7.906802703195879
discrep,2.9407356834295064e-115,23.01764841920766
excl,0.23475229559645505,1.1882546645513004
family,1.951072354982375e-66,-17.38390889734818
feel,2.656908176442331e-136,25.03341289694926
filler,9.613822735232408e-05,-3.90125938202869
friend,5.439424084089819e-08,-5.440282040157968
funct,1.9651605875144697e-90,20.286982473316666
FutureM,1.9822705203450627e-129,24.41631640101381
health,5.488098770712983e-296,37.286521337834444
hear,5.286617791262456e-46,-14.305793075577208
home,4.6258455249493915e-183,29.151688846658896
humans,9.083412758176724e-25,-10.286099928367893
i,3.438185518950797e-34,-12.238648789156448
incl,1.0928177770289883e-170,28.15084758322348
ingest,6.956770425360493e-107,22.105683888702767
inhib,0.0,60.85164052404431
insight,9.224098363331886e-47,14.404845151405878
Interjunction,3.768940223389065e-20,9.206903625507268
ipron,0.005187442156259945,-2.7955945180505846
leisure,1.3414542112267967e-06,4.835464664147747
money,0.0,48.69209607528549
motion,0.0,54.62045026624966
MultiFun,7.406686700138334e-53,15.353992155445317
negate,0.004932557090977406,2.8118593239812992
negemo,5.463502729560383e-115,22.95081833237164
nonfl,4.1105504459559677e-60,-16.468258617109154
number,7.028916030248142e-117,23.13077084885523
PastM,1.3683742746890678e-33,-12.119560534953527
percept,2.3279167775470192e-15,7.931229079623558
posemo,1.4751605536218403e-73,18.237338589701412
ppron,4.160362277689119e-46,-14.32759897111683
PrepEnd,1.2527451820479819e-228,32.74003007263935
preps,2.174937541280901e-285,36.68873338984731
PresentM,1.3204962674360315e-217,31.92304888220183
ProgM,1.2520113206009193e-17,-8.56151946272726
pronoun,2.2065157942265144e-20,-9.259567815102342
quant,2.165449426264777e-258,34.8606801635784
QuanUnit,0.0,40.6184297823975
relativ,0.0,47.50406205894344
relig,3.3998365816856115e-109,22.341901211893244
sad,6.0467605330337025e-21,9.403371415849508
see,9.455516588904174e-05,-3.905469932522138
sexual,7.550394242336687e-07,4.94866446768261
shehe,4.924617943425945e-118,-23.464995593536848
social,0.0010211257877785459,-3.2854758426725454
space,0.0,44.484701477958396
SpecArt,9.160103914208938e-302,37.76020056744304
swear,3.377665922567058e-14,7.5881608042445166
TenseM,4.8576243777373216e-26,10.574426366417347
tentat,1.3215369490047885e-101,21.52562305973763
they,0.00015282236135716478,-3.7877230563272257
time,3.257333797492144e-278,36.25436043965845
verb,3.2488354093032354e-197,30.32520909721173
we,0.0004252013715485753,3.5245954914591824
work,0.0,59.20610076208193
you,3.281031433741137e-05,-4.155217587681241
youpl,3.4665482198979825e-67,-17.489698303688545
