name,t_value,p_value
pronoun,-16.869134637987557,2.5220798049385878e-57
ppron,-13.857307608129902,1.5885303672195244e-40
i,-11.08858360876352,3.278480736927384e-27
we,-3.298120563198371,0.0009986751807329656
you,-8.236508564765998,4.3949015082182803e-16
shehe,-13.515674730890677,1.0321293502750949e-38
they,-12.027497993379441,1.8097857648024597e-31
ipron,-18.203457104142466,1.2431346680504544e-65
TenseM,-23.457102353647873,6.379659712015009e-101
PastM,-18.69653336055637,2.0455446673118055e-68
PresentM,-15.348535079869723,4.301741258517399e-49
FutureM,-19.10011168904718,3.612880182561933e-72
ProgM,-23.24136410734645,3.0529806629018637e-99
affect,-13.154932466358549,2.9988292932733346e-37
posemo,-15.437122231113776,3.416971637079237e-49
negemo,-7.087050257017159,2.0951686805111557e-12
anx,-5.25821952049165,1.6562434805355122e-07
anger,-10.506449012387446,7.663388033522479e-25
sad,0.03941737715845956,0.9685590475629497
death,-7.364814797911737,3.034809708444551e-13
preps,-19.691684999486544,9.312086970596787e-76
conj,-11.420378249977443,5.928987152996433e-29
cogmech,-14.982231339605569,5.180684698127299e-47
insight,-21.750020009342418,5.931844314478444e-89
cause,-5.746532324665455,1.0997525905656147e-08
discrep,-1.5604107339344784,0.11888332282850352
tentat,-7.702352204210418,2.527957685099988e-14
certain,-16.914637204837703,4.502929318587986e-58
inhib,-10.112706299166403,3.4326487486205116e-23
incl,-15.752059637930527,1.841374615124879e-51
excl,-10.608634172879864,2.733796075018432e-25
bio,35.240501900622306,4.6332112469035966e-229
body,28.838557483411208,1.6930271629629448e-166
health,31.739698127787815,3.984192340984358e-189
sexual,0.12595633746167637,0.8997710624250412
ingest,19.90644534394241,1.348769807558848e-82
social,-22.807379233275338,1.516115558797018e-95
family,-10.340167497870398,4.796919366057295e-24
friend,-10.841576674136316,3.809858829729873e-26
humans,-17.770153660860164,8.632670911247394e-63
percept,-10.304791452665862,3.7923891173314414e-24
see,-18.420620318782742,9.953242252642376e-68
hear,-17.31526576059342,2.37276158932968e-60
feel,6.68025720705656,2.93517094800114e-11
achieve,-14.395287186323156,1.592127653327214e-43
adverb,-13.943285129503382,2.892141936842461e-41
assent,-9.518061258196587,7.744913607139886e-21
auxverb,-3.5201535655423886,0.00044514464560641964
filler,-6.610219343471359,5.4218739091312025e-11
funct,-18.877505549264583,2.9163486525700524e-70
home,-12.814638568569793,2.017643686321248e-35
Interjunction,-16.567953223723368,7.395014621701319e-56
leisure,-3.2190792622465403,0.0013162611152790584
money,-18.4851587381332,9.772473888970372e-67
motion,-18.437395536322242,6.384340832637926e-68
MultiFun,-14.215651132573422,1.1786185735712416e-42
negate,-12.674363737134533,8.56568965647346e-35
nonfl,-6.676725105270602,3.688557800279112e-11
number,-17.35622056871086,3.408657715660844e-61
PrepEnd,-15.074804409552527,9.730807940131469e-48
quant,-12.411617671642425,1.4592024757777898e-33
QuanUnit,-25.492123157165256,3.458823351717105e-115
relativ,-22.543753118016337,7.181222099587165e-95
relig,-14.760376156178351,6.231425984564751e-46
space,-22.295045809729263,1.1311208766845916e-92
SpecArt,-18.040603730569128,2.4206904642241697e-65
swear,0.15718189529794743,0.875107230530012
time,-21.584040181132117,3.0111671954862934e-88
verb,-14.872714032723803,2.475592985529748e-46
work,-21.590565971960537,2.0974606314096906e-87
youpl,-6.710664605282307,3.013698447331385e-11
