name,t_value,p_value
pronoun,-27.894167285570102,1.1267181461798315e-160
ppron,-25.06066183862824,1.018028262466878e-131
i,-14.045832248127763,5.122565565614401e-44
we,-13.381999919393783,2.2624624403651084e-40
you,-29.791825502348715,2.6079817958552064e-181
shehe,-12.641577266744553,3.187136607336761e-36
they,-10.695757305239201,2.0440341323674488e-26
ipron,-26.212868871030345,2.2504183953948285e-143
TenseM,-18.69912924085076,5.733087336008321e-76
PastM,-12.084791354733024,2.8405402333387448e-33
PresentM,-8.032626285243614,1.0968677917338834e-15
FutureM,-13.508097718207678,4.2223222654715696e-41
ProgM,-22.6866179991415,4.626731250454922e-109
affect,-17.175549130994725,1.1019842921322558e-64
posemo,-17.917753776504878,3.878632541775606e-70
negemo,-13.900370824993958,2.4885647518937754e-43
anx,-6.551904809962956,6.040548838620399e-11
anger,-15.13624580385297,6.385842325776799e-51
sad,-4.390812346067886,1.1446288368441088e-05
death,-17.88289633590829,9.461015811126052e-70
preps,-10.33605195817272,7.296126463308849e-25
conj,-10.241522299853331,1.9186842807578232e-24
cogmech,-13.76743849357144,1.5776664943442346e-42
insight,-19.161762933321857,1.4630832168241758e-79
cause,-14.05950660172987,3.124777198873842e-44
discrep,-10.415085739000281,3.289645905685219e-25
tentat,-6.935542909879439,4.39404178506472e-12
certain,-17.15195423954352,1.523461273742182e-64
inhib,3.4032319832878604,0.0006691561867883234
incl,-13.573848220842557,1.9755488321113285e-41
excl,-19.83391176282343,7.659543170085312e-85
bio,-6.0897078087929435,1.1925293010957422e-09
body,3.0698331780012236,0.0021489071472089133
health,-4.541693545553031,5.675363255591556e-06
sexual,-2.115712745239202,0.03439920013017257
ingest,-13.487855418035725,6.02962737453288e-41
social,-24.035808712459858,3.4980164002155164e-122
family,-7.963458411993101,1.91512552853129e-15
friend,-21.75774675038645,1.6010712482065864e-101
humans,-18.322621919835996,4.1485314138822376e-73
percept,-14.477531480637115,7.247992295875895e-47
see,-17.843687907917737,1.7398704426543662e-69
hear,-13.458269940940019,8.04785945260407e-41
feel,-2.779360186313915,0.005458968562434512
achieve,-4.435799888124539,9.312427294052424e-06
adverb,-17.7111386847439,1.5764317572818116e-68
assent,-16.002958074748552,1.6716120721736546e-56
auxverb,-13.42860148068536,1.4292010885234235e-40
filler,-19.747596959412576,3.30463592888925e-84
funct,-17.931596908188528,3.620237135660243e-70
home,-6.475927099327404,1.0045426659232451e-10
Interjunction,-18.46106848753473,5.5766387163466796e-74
leisure,-3.576911122159524,0.000349674731712015
money,-15.820483630155037,3.1885210175453296e-55
motion,-2.4237465019022144,0.015383999136152977
MultiFun,-16.944880432556506,6.16749350340868e-63
negate,-19.32031753088569,6.292384645389383e-81
nonfl,-15.579062003762198,9.895830154581659e-54
number,-15.897673830688746,4.836449544161721e-56
PrepEnd,-9.236205749875413,3.2727704802776725e-20
quant,-13.417181966793093,1.5655344983513962e-40
QuanUnit,-14.745369360789386,1.6018407869626745e-48
relativ,-8.611920174270955,8.731829343734782e-18
relig,-14.697767212852794,3.59088320737987e-48
space,-9.50580014309756,2.6404360141102933e-21
SpecArt,-5.9652431260413605,2.5488113534997466e-09
swear,-4.699002377557972,2.657191757488757e-06
time,-9.350915974458568,1.1386068060346955e-20
verb,-15.912518878132431,6.270791975740279e-56
work,-2.5252213065238793,0.011581169716035095
youpl,-4.706481720958884,2.5845066237067965e-06
