name,t_value,p_value
pronoun,-5.304316000225355,6.400882904985735e-07
ppron,-4.810772993341469,5.104898315978661e-06
i,-3.4024230016744115,0.0009488336079169837
we,-0.9372992832325128,0.3486543245312175
you,-2.9973090543409993,0.0034020107904460905
shehe,-5.265031389170963,7.629181193780064e-07
they,-4.521456691250611,1.6403726683539642e-05
ipron,-5.4342159051555265,3.6033464203194686e-07
TenseM,-7.556302320300419,1.6253268174868358e-11
PastM,-6.174402260315215,1.3049640508306896e-08
PresentM,-4.608187047325366,1.135474890857985e-05
FutureM,-6.196222578153293,1.1236462149855577e-08
ProgM,-7.799164367397074,4.834253009443929e-12
affect,-4.596104388830806,4.421067075405646e-06
posemo,-3.107048484434241,0.00242666524087555
negemo,-3.979676849700255,7.008240769740131e-05
anx,-3.2482799746980566,0.0015516630347049963
anger,-3.2069180674484343,0.00135093335941306
sad,-1.2024331619135338,0.22925824947190804
death,-1.1285105773007227,0.2591637855475014
preps,-6.201594296258269,1.100790969643707e-08
conj,-4.9897614253385365,2.3515575633173294e-06
cogmech,-5.811641747824506,6.656738013254622e-08
insight,-6.740957851761398,8.845844200767075e-10
cause,-4.117815812235102,7.57726642524874e-05
discrep,-3.488985207503712,0.0004894471870910823
tentat,-4.5090184450192154,1.6897762794452874e-05
certain,-5.181010317775846,1.0718830161229213e-06
inhib,-4.278203209419778,4.175224807274682e-05
incl,-5.867840984200654,5.0934773613706594e-08
excl,-5.332660106615239,5.61246121932121e-07
bio,-1.1441693902840544,0.25261351648920594
body,1.8348380050948512,0.06659487272802239
health,-1.950243068632596,0.0537986463603132
sexual,-1.7795615125493434,0.07521440679921049
ingest,-0.26869565923031175,0.7881760609186251
social,-7.1042085739901655,1.551783536173669e-10
family,-5.020362867305273,2.138982327757562e-06
friend,-3.0874847597156387,0.002582133700039531
humans,-6.913011302626698,3.8472565470139e-10
percept,-6.63077551918219,1.3510547693484259e-09
see,-6.903242883701681,3.980784552419281e-10
hear,-5.8746222131859325,5.044625503983844e-08
feel,-1.1554832763865794,0.24795318385430573
achieve,-3.0830014668411887,0.0026163446133584583
adverb,-6.227324990785204,9.954040546567905e-09
assent,-3.644840906749573,0.00041735157053726326
auxverb,-4.336698159105882,1.4776493334720257e-05
filler,-4.270211691409404,4.2737595107185896e-05
funct,-6.390665534092983,4.611534598736317e-09
home,-3.7872886579401794,0.000255523162613392
Interjunction,-5.828020045255493,6.252990740366219e-08
leisure,-3.342088206125465,0.0011521918843587203
money,-5.786955408339059,7.638973534118123e-08
motion,-4.960054921045729,2.672288215163235e-06
MultiFun,-4.9424333768427395,2.941557554464769e-06
negate,-5.814659864216397,6.605563437077809e-08
nonfl,-2.5753006810780086,0.011393245623903307
number,-4.24530659195192,4.704984145994351e-05
PrepEnd,-6.203543024136533,1.061276093090367e-08
quant,-4.76779383645909,5.99805026689664e-06
QuanUnit,-7.674498760058453,8.642236067888603e-12
relativ,-6.610157755764416,1.606589022030356e-09
relig,-2.552453729891822,0.010729057856702492
space,-7.028370120635152,2.153188615500184e-10
SpecArt,-5.732576922276288,9.327449441815342e-08
swear,-0.8191467578672523,0.4127455425876123
time,-5.719303906868188,9.998276213035555e-08
verb,-6.117553865450059,1.6548758563749055e-08
work,-5.268245355340287,7.474929618846845e-07
youpl,0.3214961588769671,0.7478491738685087
