name,t_value,p_value
pronoun,-4.744554023136116,5.8819456848329465e-06
ppron,-5.166352752322722,1.0636613931182853e-06
i,-4.028389000014656,0.0001046553297410861
we,-0.48550912553198594,0.6277473624974454
you,-3.2897863506622556,0.0013081227377057625
shehe,-5.508300595042221,2.4376075966863474e-07
they,-4.722177770161426,7.118403368584121e-06
ipron,-3.3480792920671707,0.0010277226078455061
TenseM,-6.906817521960729,1.8527872976226939e-10
PastM,-6.7255968704829305,7.832359120964945e-10
PresentM,-3.100681100720865,0.002298803120372963
FutureM,-6.8747173443538605,1.5821203962405324e-10
ProgM,-6.574035589265436,8.353376254868883e-10
affect,-2.80850672787433,0.005376694242886473
posemo,-2.761050207721988,0.006195800425253405
negemo,-1.7884107437757837,0.07494030931046636
anx,-2.863283142731202,0.004660914876626244
anger,-1.2186959017643542,0.22412703099119563
sad,-2.3658014627451984,0.018916466302335476
death,-0.5358291614483299,0.5925607525129519
preps,-5.095751004896882,1.0585370452577777e-06
conj,-3.6532512017460625,0.0003506287103645495
cogmech,-4.493660454509347,1.4264053599194325e-05
insight,-6.159148125694735,8.58018657625842e-09
cause,-1.854233597282114,0.0649025706369865
discrep,-1.4876170545390472,0.13813257896267048
tentat,-3.2273208934099786,0.0015130945941690646
certain,-4.570549823856317,1.0773380751034803e-05
inhib,-3.6506196427520994,0.0003751587908618978
incl,-4.19956382489479,4.5313496192324206e-05
excl,-4.588105056196205,1.0338901479775043e-05
bio,-0.0313224001950991,0.9750378238903374
body,2.2149249302616645,0.02768229972346418
health,-1.5674529490701061,0.11910515131061837
sexual,-1.7788679469500808,0.07649624275308677
ingest,1.9103312690868244,0.05725331802540066
social,-7.6742020017201975,6.051030117189926e-12
family,-5.640533110169225,1.3675810029912215e-07
friend,-3.9007187160352927,0.00015554102791065603
humans,-6.8877602854594615,2.1914040572659837e-10
percept,-3.3057168656219806,0.0010886508884748037
see,-4.207518535590767,3.9226685537210786e-05
hear,-4.941628821216606,2.13633417803883e-06
feel,-0.8272553388676841,0.40889408495754975
achieve,-2.747205401664876,0.0067791809829934775
adverb,-5.192030784690998,7.322755337870946e-07
assent,-1.3973030517481149,0.16358144552821996
auxverb,-1.5148283627074248,0.1310996769446731
filler,-3.7355196545796363,0.0002689155397318713
funct,-5.188416316963091,7.313413163395273e-07
home,-4.003367264082768,0.0001128120719181887
Interjunction,-4.289670711947662,3.350378966478816e-05
leisure,-4.04699797935818,8.817498618173057e-05
money,-5.5963098576499055,1.550792548468205e-07
motion,-6.2311647887657475,5.270898568624685e-09
MultiFun,-3.27672480859885,0.0013269574526544533
negate,-4.901945159479886,2.619803655227444e-06
nonfl,-1.661493462257274,0.0978881984840204
number,-4.169282592361998,5.698308706506811e-05
PrepEnd,-5.497665135710438,1.4630213569347654e-07
quant,-3.888341664990207,0.0001520031274958555
QuanUnit,-6.671805707344633,4.780573963734994e-10
relativ,-7.337725668031379,1.8888402738518325e-11
relig,-2.5536401731099656,0.011264508842499936
space,-6.6318697516828955,6.440493409991736e-10
SpecArt,-6.06426486419453,1.0559379560436164e-08
swear,-0.579848015304709,0.5625477942373629
time,-7.184818541645552,4.3789626781653906e-11
verb,-5.413942982997723,2.6936737364419374e-07
work,-6.280035344540486,6.662989688350728e-09
youpl,1.22866959419467,0.22036980540030784
