name,t_value,p_value
pronoun,-13.084941470397583,1.4683253670235128e-29
ppron,-17.65217230631424,3.575858965333483e-48
i,-14.06718640543192,3.63054449167872e-39
we,-4.992654360556916,1.3813602649817003e-06
you,-17.73886629010944,4.268343312517578e-46
shehe,-8.310182035385143,1.0153341010530649e-14
they,-8.686233766785241,1.0041500637141182e-16
ipron,-6.613389290208187,4.0749643520104395e-10
TenseM,-7.97416060834601,1.1953845581823457e-13
PastM,-9.487753476719186,3.495168201330741e-18
PresentM,-0.7362395916736664,0.46259656578108066
FutureM,-7.992309508661268,1.7755570907564263e-13
ProgM,-8.699340456806496,1.2150260007545424e-15
affect,-5.126097041433972,7.55730444325735e-07
posemo,-6.365649799291729,1.6337449147322312e-09
negemo,-2.5643909735475505,0.01118291117233328
anx,-1.8906903948253024,0.05873934946115665
anger,-3.7229482355244077,0.0002622119834763912
sad,-3.4990873264486626,0.0005932598130802016
death,-7.4441319946605455,2.612310930570153e-12
preps,-2.9689894576938034,0.003389559111130401
conj,-2.807195590064527,0.005530431795904409
cogmech,-3.874685593456026,0.0001474399612975737
insight,-8.116829955467008,4.871122186573642e-14
cause,-2.1630752196675402,0.031876871443040286
discrep,-1.7519277353435252,0.0815591729917987
tentat,-0.8362587523198501,0.4042002452512593
certain,-6.7671465302690015,1.586954327466501e-10
inhib,1.701739393921964,0.08888350812759371
incl,-3.2743929412290345,0.0012655030785300695
excl,-8.122929082260095,4.14041072270414e-14
bio,-0.6894376798668029,0.4914872275950357
body,1.413033220791131,0.15772533029515082
health,-1.317458512171163,0.189389191518979
sexual,-1.121382667734135,0.2621936814937955
ingest,-0.34752018401492,0.7282192102458898
social,-15.984596680732288,2.108609503399737e-39
family,-8.806932288488587,2.0890899331438629e-16
friend,-13.517092856839781,3.19831915014667e-30
humans,-9.312411928848253,2.4043204507970447e-17
percept,-1.2485184414719392,0.211915800319454
see,-2.018612815609607,0.04359542671380468
hear,-3.445299424608078,0.0007236455924182501
feel,-0.29313469961415817,0.7694347070235369
achieve,-1.5250047503482298,0.1290489577894989
adverb,-6.21833486016975,3.050814396962121e-09
assent,-2.103207146899404,0.03686977936954931
auxverb,-1.969145072824464,0.05053712551452793
filler,-8.977911498496308,1.7047434143861208e-16
funct,-6.080168752503919,6.302252898406043e-09
home,-2.2406254393517,0.025106123219742597
Interjunction,-5.553177589416755,8.785250022204998e-08
leisure,-3.852216949175742,0.0001674902544400614
money,-8.903907308481001,9.143137444365715e-17
motion,-5.080203730935296,9.01338123385045e-07
MultiFun,-4.072296515946786,6.789487344860111e-05
negate,-6.922448610963401,6.867429968736523e-11
nonfl,-4.83243230506167,2.8385329751787967e-06
number,-8.29425048241914,1.800397991260847e-14
PrepEnd,-3.6315387058152835,0.00036980184989020336
quant,-4.223137896538834,3.835207630724056e-05
QuanUnit,-5.023270857155378,1.2454529502129902e-06
relativ,-6.883386722147722,8.075209546895581e-11
relig,-5.9231661962684035,1.495274024773207e-08
space,-4.054199295539789,7.554674868162527e-05
SpecArt,-4.256886913156328,3.389495760211395e-05
swear,-0.8828962853503453,0.37734643602142426
time,-9.233915433166688,3.8854942932005484e-17
verb,-6.299693972553504,1.9523971593062392e-09
work,-6.384502912313351,1.3970556411853136e-09
youpl,-0.5977941979010652,0.5500117857977794
