name,t_value,p_value
pronoun,-28.07956135415352,6.761227343676172e-162
ppron,-24.95708468376822,2.880716078165175e-130
i,-13.734426865036802,3.72760904687706e-42
we,-14.121156084770389,1.1726401880429404e-44
you,-29.597717456432463,2.701698970932398e-178
shehe,-12.53841124869296,1.2231282946561944e-35
they,-10.472244188812242,2.2204651800635125e-25
ipron,-26.806320332781723,8.42524424691392e-149
TenseM,-19.42306230631156,1.8507030523503975e-81
PastM,-12.398815022742152,6.943679483189886e-35
PresentM,-9.237973158226787,3.2429817283197074e-20
FutureM,-14.358093826918518,4.247863376272866e-46
ProgM,-22.75961517473951,2.537098474825913e-109
affect,-18.39057687955287,1.641349195477849e-73
posemo,-18.826431182497767,6.5143439314461605e-77
negemo,-15.063475485441057,2.179808490486667e-50
anx,-7.553756840247103,4.7419748800804887e-14
anger,-15.854880061479545,1.593280493024661e-55
sad,-5.123521123155174,3.078868768545596e-07
death,-18.354123836661213,4.21634795291438e-73
preps,-11.633546946287645,5.610280705167948e-31
conj,-11.695054713436036,2.772832411343371e-31
cogmech,-15.314241404235046,5.8409808678908466e-52
insight,-19.993316237530692,5.062728883268406e-86
cause,-15.664592751278873,3.3801453399085454e-54
discrep,-12.281002739562261,2.8545952920272275e-34
tentat,-8.486582468593323,2.5869676553197258e-17
certain,-17.96616216116826,2.3550596353524276e-70
inhib,2.227212564910611,0.025961410403275945
incl,-15.094953139209924,1.3219591963174128e-50
excl,-20.89639375033119,2.223636916953927e-93
bio,-8.608501146626832,9.236325342903688e-18
body,1.178022396633642,0.23882440132375468
health,-6.79129914465351,1.2121533977937058e-11
sexual,-2.361521264809575,0.018223951135857366
ingest,-15.442630382896473,7.531247002964431e-53
social,-24.090539607836583,2.5823948759463677e-122
family,-7.666718419696468,1.99909582951716e-14
friend,-21.482111149898014,7.2692089717396135e-99
humans,-18.42495922907729,9.548870706073688e-74
percept,-15.789325648482814,3.357179813697916e-55
see,-18.285102167456508,1.3062395568511484e-72
hear,-13.790074004600331,1.0303562281844428e-42
feel,-4.085586741659669,4.4394722018019085e-05
achieve,-5.90953097070832,3.603783750095748e-09
adverb,-19.053685732635046,1.5157274753218127e-78
assent,-17.592549894640218,1.714658110810287e-67
auxverb,-15.174136161004919,4.634829477368498e-51
filler,-20.759101700767136,2.7166048055198226e-92
funct,-19.15694892720985,2.2371464696269925e-79
home,-7.056762734813191,1.87871687655085e-12
Interjunction,-19.567887615194994,2.1624540728096194e-82
leisure,-4.8617405567567635,1.185747961582374e-06
money,-17.14548828114514,1.8216009557528063e-64
motion,-3.5390490189334023,0.0004040656090100161
MultiFun,-18.26826211186116,2.0108403919525217e-72
negate,-20.341806221763573,4.99122621550474e-89
nonfl,-16.096079700595322,4.5908133432710047e-57
number,-16.682635045767537,2.2568833990168e-61
PrepEnd,-10.812436096870615,4.923285186491095e-27
quant,-14.606939046908112,1.507269962428341e-47
QuanUnit,-15.620146297130525,4.387597466084812e-54
relativ,-9.817475675674512,1.3432582885461433e-22
relig,-14.689370007236747,4.654813209787248e-48
space,-10.665390467474518,2.385210820315906e-26
SpecArt,-6.843678645187598,8.333591262886182e-12
swear,-5.1816979093051385,2.2524490414848704e-07
time,-10.491111412765314,1.4966042830993663e-25
verb,-17.452703430640536,1.5630069646940164e-66
work,-3.097343353913896,0.001959395207723245
youpl,-3.9854231330276577,6.831791024606701e-05
