name,t_value,p_value
pronoun,-13.40006381129104,9.74588960041395e-31
ppron,-17.674925784803605,1.8423411765283795e-48
i,-13.804926279580808,7.167068982313428e-38
we,-5.429674357443944,1.7456441124038772e-07
you,-17.75563088995921,2.4096154218761653e-46
shehe,-8.341623072391336,7.618219988073611e-15
they,-8.6578129247852,1.0108664450753907e-16
ipron,-7.103980304866352,2.5552792889637374e-11
TenseM,-8.479264520694,4.7202146515891605e-15
PastM,-9.758086081094005,4.474381192483133e-19
PresentM,-1.2253360048951876,0.22212825396465635
FutureM,-8.414782713244982,1.3272451242037568e-14
ProgM,-8.998912998656385,1.5459025280838495e-16
affect,-5.74812148760517,3.7044855197597026e-08
posemo,-6.808559569177534,1.4623032433378976e-10
negemo,-3.1482614637466475,0.001928892331871383
anx,-2.1640523818444133,0.030524235060140556
anger,-4.198247050675347,4.1622048657168175e-05
sad,-3.830226496786301,0.000177584580194274
death,-7.93259911164236,1.1968055692694511e-13
preps,-3.5858527736633676,0.0004300233205178939
conj,-3.5362959688620257,0.0005102775816414555
cogmech,-4.664513820840812,5.805131737474393e-06
insight,-8.691231261712769,1.1836537846389318e-15
cause,-2.9267446482880426,0.0038671329789413964
discrep,-2.5297782050275353,0.0122951277154158
tentat,-1.4356447436919009,0.15294712062263682
certain,-7.303232719311457,7.090000413832965e-12
inhib,1.4259532510674522,0.15396635790272256
incl,-4.019595693548168,8.456999472418003e-05
excl,-8.855007552813365,3.432514003287612e-16
bio,-1.6393425542520723,0.10296713361700456
body,0.9107628902415492,0.3624797605243456
health,-2.2522738825412882,0.025513064708161944
sexual,-1.2441895924827535,0.2135087539323285
ingest,-0.90207664827895,0.3670749815141582
social,-16.166622651595155,2.9736344013245587e-40
family,-8.649646017138865,5.144085475972432e-16
friend,-13.514677118110903,2.4047601147986536e-30
humans,-9.474738640414465,7.53667523985258e-18
percept,-1.6533333653175224,0.09834803122439732
see,-2.232552246441892,0.02563820746787058
hear,-3.6461316333760587,0.0003556893546353822
feel,-0.6570481504648442,0.5111909000859416
achieve,-2.147553276522299,0.03309309617511356
adverb,-7.000192245775788,3.9224414227955044e-11
assent,-2.8513139208391904,0.004866866782040521
auxverb,-2.7152335747587553,0.0072873807935062585
filler,-9.729053105407448,9.383929986032113e-19
funct,-6.785698084592237,1.3262471024419048e-10
home,-2.3873356244418913,0.017021000709322203
Interjunction,-6.258710762406864,2.2124852424361437e-09
leisure,-4.367712115423741,2.2020392824375732e-05
money,-8.49335981422656,3.4681608327925047e-15
motion,-5.61700554038783,6.733353426505453e-08
MultiFun,-4.836358076027849,2.6593084435950948e-06
negate,-7.5463812263723655,1.783816495062461e-12
nonfl,-5.238904505805708,4.3117818089382256e-07
number,-8.819395976076663,5.9311186813182e-16
PrepEnd,-4.326350017998722,2.5269364626722307e-05
quant,-4.805511838245354,3.2306374545135706e-06
QuanUnit,-5.450326209485623,1.6700739601302534e-07
relativ,-7.4927249934950195,2.2936885988935446e-12
relig,-6.069677159794764,6.8033977633166856e-09
space,-4.557813442108272,9.612222576857548e-06
SpecArt,-4.635968250522442,6.9280559538745475e-06
swear,-1.0408471823865042,0.2980146136574535
time,-9.841512415292504,6.140198940177414e-19
verb,-7.128314056060191,1.8576903171657326e-11
work,-6.663478605661819,3.0211867961964736e-10
youpl,-0.455333468052758,0.6488961200872518
