name,t_value,p_value
pronoun,-11.17684914,7.368E-29
ppron,-13.04682825,1.221E-38
i,-9.862775736,7.384E-23
we,-5.184409821,2.209E-07
you,-9.605977887,9.305E-22
shehe,-14.29560218,5.595E-46
they,0.178770991,8.581E-01
ipron,-6.85355133,7.607E-12
TenseM,2.194846665,2.820E-02
PastM,-13.67022703,3.222E-42
PresentM,13.97797241,5.840E-44
FutureM,11.257231,3.205E-29
ProgM,-7.231954435,5.070E-13
affect,11.57456673,8.873E-31
posemo,7.673997813,1.826E-14
negemo,11.87424268,2.809E-32
anx,10.0412967,1.325E-23
anger,8.706444633,3.740E-18
sad,-1.811826475,7.004E-02
death,7.130153725,1.095E-12
preps,16.89907446,4.584E-63
conj,-3.681782053,2.328E-04
cogmech,13.48584496,4.826E-41
insight,6.365745822,2.030E-10
cause,16.15458166,6.966E-58
discrep,0.102223338,9.186E-01
tentat,-0.441775202,6.587E-01
certain,15.66516227,1.542E-54
inhib,35.14335697,8.053E-249
incl,9.558132289,1.505E-21
excl,-7.602502833,3.155E-14
bio,-4.011642233,6.070E-05
body,-4.75488827,2.009E-06
health,0.115199873,9.083E-01
sexual,-5.5418079,3.057E-08
ingest,-2.169723304,3.005E-02
social,2.643452273,8.218E-03
family,-7.670558092,1.846E-14
friend,-2.412503837,1.586E-02
humans,-2.293562666,2.183E-02
percept,-2.393927627,1.669E-02
see,-8.445453507,3.379E-17
hear,-8.836397942,1.129E-18
feel,9.394821296,6.930E-21
