name,t_value,p_value
pronoun,10.714862266927344,1.262104474077089e-26
ppron,8.828950275088411,1.2815838348113877e-18
i,4.470638439416063,7.902458631774217e-06
we,8.70332213575758,3.891444226931022e-18
you,8.658259177856486,5.758074594311868e-18
shehe,5.3023027559230425,1.1757679439302938e-07
they,3.801145526173816,0.00014515542154899008
ipron,11.243544703193187,4.069315065203358e-29
TenseM,10.93733858857995,1.1483888864586857e-27
PastM,7.6156007164701105,2.924713424956106e-14
PresentM,11.109753880666219,1.7930220015901538e-28
FutureM,11.106599812186847,1.8619495618977814e-28
ProgM,8.436967778112734,3.812775966073689e-17
affect,11.87787847097578,2.7119571563989077e-32
posemo,12.758051961473038,5.943506177243589e-37
negemo,9.672336212813441,5.17876501362648e-22
anx,7.776418207129787,8.395138814946654e-15
anger,8.117357483433409,5.487963680733492e-16
sad,6.587595429312624,4.7604271143772074e-11
death,5.7931349038523905,7.162582544667899e-09
preps,11.896011973748825,2.1902728909861697e-32
conj,11.293108176572678,2.2534708428750048e-29
cogmech,12.398011727397309,5.227495609138359e-35
insight,10.896046259304473,1.798253781109154e-27
cause,11.291770456609184,2.3608843308176445e-29
discrep,12.165351728235628,8.839988446998978e-34
tentat,12.105746922508263,1.809338970076088e-33
certain,11.069702834727838,2.808140656559628e-28
inhib,10.360671115293753,5.357723600670092e-25
incl,12.209697123022492,5.176955227182956e-34
excl,10.57200517775934,5.921244778726817e-26
bio,10.919606910991506,1.4266842721190905e-27
body,9.749746329341745,2.4536291800788796e-22
health,8.97581532749589,3.425986103565438e-19
sexual,7.7692105069944555,8.910559340274224e-15
ingest,9.392512514367873,7.532526094737692e-21
social,11.602882929060085,6.6648281380330855e-31
family,5.056741648880329,4.365581521587055e-07
friend,7.83642216206554,5.245527046358609e-15
humans,10.45843603625573,1.9561179120538224e-25
percept,11.107555957004777,1.7774127662190616e-28
see,8.520996578088372,1.8798666126485535e-17
hear,7.373118763795,1.8341856242023369e-13
feel,8.32068237640061,1.0227389091985457e-16
achieve,10.542959264317657,8.011200913115965e-26
adverb,11.9413157337633,1.2826248662761128e-32
assent,11.431447325742795,4.901838027175769e-30
auxverb,12.524998863631849,1.0929591253404368e-35
filler,9.519922222753287,2.2501679845829695e-21
funct,12.345194358058594,9.97816496217452e-35
home,7.013528727691231,2.540984726351676e-12
Interjunction,11.188795068018088,7.225003843524376e-29
leisure,10.228352229337528,2.0884415238682207e-24
money,5.63218694456363,1.8430870477031472e-08
motion,11.015645740047114,5.049587266940336e-28
MultiFun,11.233420567130242,4.394659890320655e-29
negate,11.034100729322812,3.9896298929996954e-28
nonfl,7.870992871507078,3.99292157830004e-15
number,9.656079314720118,6.099431383427531e-22
PrepEnd,12.028939973761586,4.531202193781608e-33
quant,12.194206193368164,6.24224971714631e-34
QuanUnit,11.943213976325914,1.254133211345579e-32
relativ,12.426295578358651,3.6938373933171584e-35
relig,6.584789396900847,4.8525152650043606e-11
space,12.188895269308375,6.655490085504674e-34
SpecArt,10.77199459232298,7.044720342672047e-27
swear,5.369224160147164,8.142599830891855e-08
time,11.811929102211172,5.88287220878565e-32
verb,12.527962659023434,1.0535656385145632e-35
work,9.238494787973885,3.148900824569024e-20
youpl,1.7269547243368333,0.08421069649318523
