%
1			achieve
2			adverb
3			affect
4			anger
5			anx
6			assent
7			auxverb
8			bio
9			body
10			cause
11			certain
12			cogmech
13			conj
14			death
15			discrep
16			excl
17			family
18			feel
19			filler
20			friend
21			funct
22			FutureM
23			health
24			hear
25			home
26			humans
27			i
28			incl
29			ingest
30			inhib
31			insight
32			Interjunction
33			ipron
34			leisure
35			money
36			motion
37			MultiFun
38			negate
39			negemo
40			nonfl
41			number
42			PastM
43			percept
44			posemo
45			ppron
46			PrepEnd
47			preps
48			PresentM
49			ProgM
50			pronoun
51			quant
52			QuanUnit
53			relativ
54			relig
55			sad
56			see
57			sexual
58			shehe
59			social
60			space
61			SpecArt
62			swear
63			TenseM
64			tentat
65			they
66			time
67			verb
68			we
69			work
70			you
71			youpl
%

一流			1
人脉			1
力争			1
力量			1
下定决心			1
大红大紫			1
大师			1
女王			1
工作			1
才能			1
才华			1
不配			1
中等			1
分红			1
升迁			1
升职			1
反败为胜			1
天份			1
引领			1
引导			1
支配			1
方案			1
主宰			1
主席			1
功效			1
功课			1
可用			1
可行			1
夯			1
失去			1
失败			1
平凡			1
平庸			1
打败			1
本领			1
生存			1
生产			1
用心			1
用功			1
目的			1
目标			1
任命			1
企图			1
合宜			1
名闻遐迩			1
回报			1
地位			1
好手			1
存活			1
成功			1
成就			1
有效			1
考验			1
自大			1
自信			1
自负			1
自尊			1
自豪			1
作用			1
克服			1
利益			1
努力			1
完美			1
完善			1
技巧			1
技能			1
技术			1
技艺			1
把握			1
改良			1
改善			1
改进			1
决心			1
决定			1
决策			1
决策者			1
良机			1
走后门			1
佼佼者			1
到达			1
刺激			1
协议			1
定案			1
征服			1
所得			1
承担			1
抱负			1
东山再起			1
果断			1
表现			1
表演			1
长处			1
促销			1
保持			1
信心			1
冠军			1
前进			1
威信			1
度过			1
建立			1
后果			1
恰当			1
持续			1
指挥			1
挑战			1
政权			1
津贴			1
突出			1
红利			1
苟延残喘			1
英雄			1
要求			1
计划			1
计策			1
计谋			1
负责			1
负责人			1
重大			1
重要			1
降职			1
限制			1
限度			1
飞黄腾达			1
首要			1
幸存			1
员工			1
徒劳			1
挫败			1
效果			1
效率			1
时机			1
晋升			1
核准			1
神乎其技			1
级别			1
能力			1
能手			1
能够			1
能干			1
财力			1
退学			1
逃避			1
逆转			1
高手			1
高级			1
高等			1
高阶			1
高层			1
偷懒			1
动机			1
执行			1
坚忍			1
坚决			1
坚定			1
坚持			1
坚强			1
专家			1
专业			1
强大			1
强壮			1
强度			1
强健			1
得到			1
得意			1
授予			1
控制			1
推进			1
教训			1
率领			1
理想			1
终点			1
组织			1
统治			1
规划			1
设计			1
责任			1
造成			1
造诣			1
野心			1
顶尖			1
顶点			1
凯旋			1
创立			1
创作			1
创始			1
创建			1
创造			1
创办人			1
胜任			1
胜利			1
胜过			1
丧失			1
报酬			1
提升			1
提高			1
散漫			1
普通			1
最好			1
最佳			1
最终			1
残存			1
渡过			1
无比			1
无用			1
无法			1
无效			1
无益			1
无能			1
无敌			1
登峰造极			1
发明			1
发起			1
发现			1
发愤			1
等级			1
策略			1
策划			1
结局			1
结果			1
结论			1
给予			1
菁英			1
著名			1
裁定			1
超级			1
超越			1
超过			1
进步			1
进展			1
阶级			1
雄心			1
顺利			1
勤勉			1
勤奋			1
勤恳			1
意志			1
意图			1
损失			1
业务			1
极好			1
极限			1
经验			1
义务			1
脚踏实地			1
解决			1
解套			1
试图			1
诚实			1
诚恳			1
资源			1
达人			1
达成			1
驰名			1
嘉奖			1
尝试			1
团队			1
实力			1
实现			1
实践			1
对策			1
畅销			1
荣幸			1
荣耀			1
荣誉			1
满足			1
尽责			1
称赞			1
管理			1
精通			1
认可			1
认真			1
诱因			1
赶上			1
赶过			1
远近驰名			1
领先			1
领导			1
增进			1
娴熟			1
影响			1
庆祝			1
毅力			1
毅然			1
潜力			1
潜在			1
熟练			1
奖*			1
缔结			1
练习			1
请求			1
质疑			1
辍学			1
适任			1
适当			1
驾驭			1
勋章			1
奋斗			1
奋发			1
战略			1
战胜			1
擅长			1
操纵			1
机敏			1
机会			1
机构			1
激励			1
燃尽			1
磨练			1
输			1
输家			1
输掉			1
锦标			1
优秀			1
优胜			1
优等			1
优势			1
优点			1
击败			1
获取			1
获得			1
获胜			1
总统			1
亏损			1
赚			1
赚取			1
赚钱			1
职权			1
离职			1
懒惰			1
懒散			1
赞同			1
赞许			1
辞职			1
关系			1
竞争			1
继任			1
继承			1
赢*			1
驱使			1
驱策			1
巅峰			1
权力			1
权威			1
权势			1
骄傲			1
赞*			1

一向			2
一定			2
一直			2
一般			2
一般而言			2
乃			2
十分			2
也			2
也许			2
大多			2
大约			2
大致			2
大都			2
大幅			2
大概			2
才			2
不			2
不久			2
不管			2
不论			2
不错			2
不断			2
予以			2
互相			2
仍			2
仍然			2
仍旧			2
反正			2
反而			2
太			2
少			2
尤其			2
主要			2
以前			2
加以			2
只			2
只好			2
只有			2
只是			2
可能			2
四处			2
平常			2
必			2
正好			2
目前			2
立即			2
全然			2
共			2
再			2
再次			2
再度			2
同样			2
地			2
多半			2
好			2
如此			2
如何			2
有没有			2
有时			2
此外			2
此刻			2
自行			2
自然			2
至今			2
至少			2
似乎			2
何时			2
何处			2
即			2
即可			2
即刻			2
实时			2
均			2
完全			2
快			2
快速			2
更加			2
没			2
究竟			2
迅速			2
那么			2
并			2
到底			2
尚			2
往往			2
往后			2
忽然			2
的确			2
肯定			2
近来			2
近期			2
长久			2
附近			2
非常			2
便			2
很			2
很少			2
怎么			2
恰好			2
甚			2
甚至			2
相			2
相互			2
相当			2
约			2
重新			2
首先			2
倒			2
刚			2
刚才			2
刚刚			2
原			2
哪里			2
差不多			2
恐怕			2
时时			2
时常			2
根本			2
特别			2
真			2
真正			2
真的			2
真是			2
纷纷			2
起初			2
马上			2
偶尔			2
唯一			2
够			2
将近			2
常			2
常常			2
从来			2
现在			2
毕竟			2
竟			2
竟然			2
终于			2
逐渐			2
这里			2
这么			2
这样			2
这边			2
通常			2
都			2
陆续			2
就			2
几乎			2
普遍			2
曾经			2
最			2
最多			2
最近			2
最后			2
最终			2
稍微			2
绝对			2
越来越			2
进一步			2
须			2
仅			2
仅仅			2
愈			2
愈来愈			2
极			2
当下			2
当初			2
当时			2
当然			2
经常			2
较			2
过分			2
过份			2
实在			2
实际			2
宁愿			2
彻底			2
渐渐			2
认真			2
远			2
远处			2
远远			2
需			2
需要			2
颇			2
确切			2
确实			2
随地			2
随便			2
随时			2
随处			2
随意			2
频繁			2
总是			2
还			2
还是			2
简直			2
简单			2
显然			2

ㄏㄏ			3
一无所有			3
七窍生烟			3
了不起			3
人心惶惶			3
八卦			3
上级			3
上当			3
下定决心			3
下流			3
口吃			3
大方			3
大笑			3
大胆			3
小心			3
小气			3
小偷			3
才能			3
才智			3
不仁			3
不可思议			3
不平			3
不甘			3
不安			3
不利			3
不足			3
不定			3
不宜			3
不幸			3
不拘小节			3
不服			3
不知所措			3
不便			3
不耐			3
不耐烦			3
不贞			3
不准			3
不悦			3
不符			3
不当			3
不解			3
不满			3
不适			3
不顾一切			3
中断			3
仁*			3
仇*			3
元凶			3
内疚			3
公愤			3
凶*			3
分心			3
分手			3
分享			3
分歧			3
分红			3
分散			3
分裂			3
分担			3
勾引			3
厄运			3
及时			3
友*			3
反抗			3
反叛			3
反派			3
反感			3
反对			3
反驳			3
天才			3
天堂			3
天资			3
天赋			3
幻想			3
引人注目			3
引诱			3
心灰意冷			3
心神不定			3
心神不宁			3
心情			3
心痛			3
心爱			3
心烦意乱			3
心碎			3
心酸			3
支持			3
支配			3
欠债			3
毛骨悚然			3
火热			3
王八蛋			3
世仇			3
乏味			3
仔细			3
他妈的			3
付出			3
充沛			3
出色			3
功劳			3
古怪			3
可口			3
可怕			3
可耻			3
可笑			3
可悲			3
可恶			3
可爱			3
可鄙			3
可憎			3
可怜			3
可靠			3
外向			3
外行			3
外伤			3
失去			3
失眠			3
失控			3
失败			3
失望			3
失误			3
平安			3
平和			3
平庸			3
平静			3
平稳			3
打			3
打仗			3
打岔			3
打架			3
打倒			3
打破			3
打情骂俏			3
打败			3
打击			3
打扰			3
打断			3
打搅			3
末日			3
正			3
正面			3
生命力			3
生气			3
生气勃勃			3
生病			3
生动			3
生疏			3
生厌			3
用力			3
白目			3
白痴			3
白痴			3
目瞪口呆			3
矛盾			3
丢人			3
丢人现眼			3
丢下			3
丢弃			3
丢脸			3
交往			3
交战			3
任性			3
凶*			3
光亮			3
光荣			3
光辉			3
劣*			3
危*			3
吃醋			3
吃惊			3
合宜			3
同情			3
同意			3
回春			3
多情			3
多疑			3
多余			3
好			3
好玩			3
好笑			3
好处			3
好棒			3
好运			3
妄想			3
安心			3
安全			3
安逸			3
安宁			3
安静			3
安稳			3
成功			3
成见			3
成就			3
收获			3
曲解			3
有力			3
有用			3
有利			3
有助			3
有害			3
有效			3
有益			3
有趣			3
有钱			3
次要			3
次等			3
死*			3
污秽			3
灰心			3
百感交集			3
自大			3
自甘堕落			3
自由			3
自在			3
自私			3
自卑			3
自信			3
自负			3
自责			3
自尊			3
自豪			3
自鸣得意			3
自暴自弃			3
至高无上			3
至善			3
色情			3
伴侣			3
伶俐			3
低沉			3
低能			3
低能儿			3
低迷			3
低落			3
占便宜			3
作呕			3
作弊			3
克制			3
免费			3
冷			3
冷淡			3
冷酷			3
冷静			3
利己			3
利益			3
利润			3
